id_str,subcamp01_tweets,subcamp02_tweets,subcamp03_tweets,subcamp04_tweets,subcamp05_tweets,subcamp06_tweets,subcamp07_tweets,subcamp08_tweets,subcamp09_tweets,subcamp10_tweets,subcamp11_tweets,subcamp12_tweets,subcamp13_tweets,subcamp14_tweets,subcamp15_tweets,subcamp16_tweets,subcamp17_tweets,subcamp18_tweets,subcamp19_tweets,subcamp20_tweets,subcamp21_tweets,subcamp22_tweets,subcamp23_tweets,subcamp24_tweets,subcamp25_tweets,subcamp26_tweets,subcamp27_tweets,subcamp28_tweets,subcamp29_tweets,group,condition,block
1470103877282320391,58,86,54,79,40,20,29,44,46,72,53,67,65,69,75,43,104,41,66,66,75,81,28,76,38,65,10,0,0,8,t,08_108
1424873675795308555,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,t,08_128
92507535,0,0,0,0,7,1,0,6,1,4,6,0,5,1,3,1,4,3,0,2,6,0,1,0,0,0,0,0,0,12,c,12_55
1396454531790114819,22,7,0,14,10,3,2,1,0,2,6,4,3,8,8,2,0,4,0,1,1,2,21,7,3,4,0,0,0,11,t,11_25
1387390393944182784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,t,12_26
1486958403637645314,66,112,201,149,68,108,57,91,63,57,125,49,134,70,119,99,63,86,85,100,134,138,99,76,151,166,43,0,0,24,t,24_82
1499300632196530178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,t,08_125
1499542400926208004,0,0,5,7,0,1,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,c,08_137
1426670768881025024,30,25,30,18,31,14,19,2,0,15,30,28,24,6,4,25,6,12,7,2,0,13,8,6,21,10,0,0,0,8,c,08_74
1426502089388212225,2,2,1,4,3,0,0,0,1,2,4,0,2,0,4,4,2,4,6,1,2,3,1,7,2,3,0,0,0,8,c,08_127
1198343696195969024,0,0,5,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,7,4,2,0,0,0,10,c,10_73
1444014654464868352,15,131,71,79,76,16,1,14,34,10,28,48,16,0,50,9,31,54,29,0,0,34,61,0,50,21,0,0,0,8,c,08_72
1499620385096192007,30,3,9,10,5,5,1,16,6,3,3,4,6,4,8,10,3,0,3,1,5,9,4,9,5,4,0,0,0,8,t,08_112
1499813924258127875,20,17,31,41,30,21,9,13,16,15,10,11,7,11,8,9,7,12,14,9,10,10,4,12,15,14,2,0,0,8,t,08_69
1381313264546635782,0,2,1,3,2,0,0,1,1,2,2,1,3,1,2,0,0,0,2,3,0,1,0,0,1,1,0,0,0,12,t,12_26
1500163977208377352,44,24,8,27,8,7,3,12,0,8,6,6,6,8,12,14,2,9,19,17,13,9,3,2,2,4,1,0,0,7,c,07_80
115731897,87,101,17,51,65,64,23,30,12,13,29,34,65,45,49,137,85,74,15,16,46,51,67,44,125,91,0,0,0,20,c,20_25
1500279486834642944,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,t,08_97
1481123612891521025,26,7,26,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,t,18_61
1204492185342627840,26,143,112,215,148,102,29,30,4,0,1,0,0,0,119,85,83,56,181,71,136,132,86,63,40,54,0,0,0,10,t,10_123
86932737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,t,09_24
1434959869933666304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,c,07_26
1342573378583064580,1,4,2,5,1,0,1,99,0,25,3,4,44,41,119,0,8,18,9,19,50,29,5,51,45,24,0,0,0,19,c,19_108
1167261645229314048,7,10,9,26,20,5,0,10,4,1,0,1,5,14,7,2,1,2,7,7,14,0,0,0,12,3,0,0,0,10,c,10_65
1443725120120442884,0,12,138,4,6,24,0,3,90,154,0,0,22,0,0,62,197,167,32,200,0,113,0,77,0,16,0,0,0,8,t,08_83
1502654794514763786,5,0,0,0,7,0,1,0,0,0,2,1,1,0,2,0,6,7,6,0,1,0,0,3,2,4,0,0,0,12,t,12_62
1497260642209865734,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,t,18_110
46217391,0,15,5,11,0,0,0,0,0,1,4,1,0,1,5,4,1,0,0,0,3,0,0,2,0,0,4,0,0,2,c,02_13
1442625382390407174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,c,19_83
79482699,21,48,52,80,52,87,50,16,26,18,23,7,29,25,23,30,12,34,8,6,9,61,94,49,107,61,4,0,0,20,c,20_38
1503395015950802949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,c,12_67
1503756203767349256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,t,18_9
1503928187088404482,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,c,12_22
1145789973691416576,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,c,04_29
58493784,4,16,5,15,12,8,3,1,1,5,4,3,6,1,3,2,4,4,6,8,2,9,5,3,7,4,0,0,0,2,t,02_88
1504319822066237445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,c,12_67
1505995888447029250,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,c,12_73
1150543708078477313,27,7,16,44,17,7,12,13,10,7,11,19,0,21,7,0,0,4,19,9,6,11,6,8,12,15,0,0,0,9,c,09_42
1506298528515059712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,c,18_88
1160163663258537985,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,c,09_76
1510654010658803719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,c,12_29
1413005670371241988,0,0,0,0,0,0,0,35,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,18,c,18_88
